"시점","품목군별(1)",품목군별(2),소득 (원),소득률 (%)
"2021","식량작물 (kg)",소계,897199,46.8
"2021","식량작물 (kg)",겉보리,118525,30.3
"2021","식량작물 (kg)",쌀보리,201414,39.6
"2021","식량작물 (kg)",밀,229152,45.8
"2021","식량작물 (kg)",노지풋옥수수,1029639,54.7
"2021","식량작물 (kg)",고구마,2005282,52.3
"2021","식량작물 (kg)",봄감자,725074,36.1
"2021","식량작물 (kg)",가을감자,1002136,42.7
"2021","노지채소 (kg)",소계,1668352,50.4
"2021","노지채소 (kg)",노지수박,2684623,54.8
"2021","노지채소 (kg)",가을무,1437257,58.0
"2021","노지채소 (kg)",고랭지무,1146194,44.3
"2021","노지채소 (kg)",당근,692204,26.2
"2021","노지채소 (kg)",봄배추,1129069,54.5
"2021","노지채소 (kg)",가을배추,1735783,58.7
"2021","노지채소 (kg)",고랭지배추,1009980,41.4
"2021","노지채소 (kg)",노지시금치,2219173,65.9
"2021","노지채소 (kg)",양배추,915104,42.7
"2021","노지채소 (kg)",대파,1334744,48.0
"2021","노지채소 (kg)",쪽파,3528815,58.0
"2021","노지채소 (kg)",생강,1690996,33.0
"2021","시설채소 (kg)",소계,7944051,45.1
"2021","시설채소 (kg)",수박(반촉성),3269985,51.7
"2021","시설채소 (kg)",시설참외,5456699,51.6
"2021","시설채소 (kg)",딸기(촉성),11920023,45.0
"2021","시설채소 (kg)",오이(촉성),12607184,42.7
"2021","시설채소 (kg)",오이(반촉성),7953813,55.2
"2021","시설채소 (kg)",오이(억제),3384534,43.2
"2021","시설채소 (kg)",시설호박,6123393,45.1
"2021","시설채소 (kg)",토마토(촉성),11244269,44.7
"2021","시설채소 (kg)",토마토(반촉성),10625789,52.8
"2021","시설채소 (kg)",방울토마토,7594106,42.4
"2021","시설채소 (kg)",시설가지,11287423,45.5
"2021","시설채소 (kg)",착색단고추(파프리카),10738721,29.0
"2021","시설채소 (kg)",시설시금치,1197293,38.4
"2021","시설채소 (kg)",시설상추,3951115,44.7
"2021","시설채소 (kg)",시설부추,3928776,42.4
"2021","시설채소 (kg)",시설고추,9436406,52.6
"2021","노지과수 (kg)",소계,3879599,58.3
"2021","노지과수 (kg)",사과,3291829,51.0
"2021","노지과수 (kg)",배,3859307,53.8
"2021","노지과수 (kg)",복숭아,2697341,55.5
"2021","노지과수 (kg)",노지포도,7324899,69.9
"2021","노지과수 (kg)",노지감귤,2550807,62.7
"2021","노지과수 (kg)",단감,1863027,55.9
"2021","노지과수 (kg)",참다래(키위),3334646,54.7
"2021","노지과수 (kg)",블루베리,4186281,53.1
"2021","노지과수 (kg)",자두,1966699,54.1
"2021","시설과수 (kg)",소계,11520676,63.1
"2021","시설과수 (kg)",시설포도,11520676,63.1
"2021","화훼 (본)",소계,6765479,24.0
"2021","화훼 (본)",시설장미,6765479,24.0
"2021","특용약용 (kg)",소계,3061776,56.2
"2021","특용약용 (kg)",참깨,921130,60.6
"2021","특용약용 (kg)",인삼(4년근),7539775,56.5
"2021","특용약용 (kg)",오미자,2104054,52.8
"2021","특용약용 (kg)",들깨,673854,62.7
